Field=#~Integer~#~50|Field=Comment~String~Comment~78|Field=Description~String~Description~78|Field=Designator~String~Designator~78|Field=Footprint~String~Footprint~78|Field=LibRef~String~LibRef~78|Field=Manufacturer 1~String~Manufacturer 1~81|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~81|Field=Quantity~Integer~Quantity~78|Field=Supplier~String~Supplier~78|Field=Supplier 1~String~Supplier 1~81|Field=Supplier Currency 1~String~Supplier Currency 1~129|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~72|Field=Supplier P/N~String~Supplier P/N~129|Field=Supplier Part Number 1~String~Supplier Part Number 1~179|Field=Supplier Stock 1~Integer~Supplier Stock 1~20|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~20|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Generic_PCB.PrjPcb|ReportField=ProjectFullPath~C:\Users\Jim\Documents\owr_elec\Generic_PCB\Generic_PCB.PrjPcb|ReportField=Title~Bill of Materials For Project [Generic_PCB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~112|ReportField=ReportTime~4:20:25 PM|ReportField=ReportDate~1/04/2017|ReportField=ReportDateTime~1/04/2017 4:20:25 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/04/2017|ReportField=CurrentTime~12:50:58 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Jim\Documents\owr_elec\Generic_PCB\webench_schematic_exchange_design_4446945_6_Altium\Altium\2017-02-03_03-50-16\2017-02-03_03-50-161.schdoc|ReportField=DocumentName~2017-02-03_03-50-161.schdoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~24/03/2017|ReportField=Organization~|ReportField=ProjectName~Generic_PCB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Generic_PCB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Jim\Documents\owr_elec\Generic_PCB\Generic_PCB.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1-1623849-0|TRIMMER 10K OHM 0.5W TH|BIG1, BIG2, BIG3, BIG4, Rshift1, Rshift2, Rshift3, Rshift4, SMALL1, SMALL2, SMALL3, SMALL4|4290 Series Trimmer|1-1623849-0|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|12||Digikey|Supplier disabled|||{URL}{URL.TEXT}A105870-ND{URL.TIP}Supplier|||
2|0805 MLCC - NP0, 5%|0805 MLCC - NP0, 5%|C8, C15, C74|0805 Cap|0805 MLCC - NP0, 5%|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|3||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
3|OMIT|0805 MLCC - NP0, 5%|C30|0805 Cap|0805 MLCC - NP0, 5%|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digikey||||JMK212AB7106KG-T|{URL}{URL.TEXT}{URL.TIP}Supplier|||
4|0805 Cap|0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - X7R, 10%, 0805 MLCC - NP0, 5%, 0805 MLCC - X7R, 10%, 0805 MLCC - X7R, 10%, 0805 MLCC - X7R, 10%, 0805 MLCC - X7R, 10%|C31, C32, C35, C36, C37, C38, C39, C40, C41, C42, C44, C45, C46, C47, C48, C49, C50, C53, C54, C75, C76, Cbst, Cin, Cout, Csense|0805 Cap|0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - NP0, 5%, 0805 MLCC - X7R, 10%, 0805 MLCC - NP0, 5%, 0805 MLCC - X7R, 10%, 0805 MLCC - X7R, 10%, 0805 MLCC - X7R, 10%, 0805 MLCC - X7R, 10%|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|25||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
5||0805 MLCC - NP0, 5%|C83|0805 Cap|0805 MLCC - NP0, 5%|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digikey||||JMK212AB7106KG-T|{URL}{URL.TEXT}{URL.TIP}Supplier|||
6|TLPG5600|LED GREEN DIFF ROUND T/H R/A|CONN, USER|TLPR5600|TLPG5600|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|2||Digikey|Supplier disabled|||{URL}{URL.TEXT}TLPG5600-ND{URL.TIP}Supplier|||
7|SD0805S040S0R5|DIODE SCHOTTKY 40V 500MA 0805|D1, D2, D3, D4, D5, D6, D7, D8|0805 Diode|SD0805S040S0R5|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|8||Digikey|Supplier disabled|||{URL}{URL.TEXT}478-7802-1-ND{URL.TIP}Supplier|||
8|1SMA10CAT3G|400 W Peak Power Zener Transient Voltage Suppressor, 2-Pin SMA, Pb-Free, Tape and Reel|D10, D11, D12, D13|ONSC-SMA-2-403D-02_F_V|1SMA10CAT3G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSupplier%2520disabled%26mpn%3DSupplier%2520disabled%26seller%3DMouser%26sku%3D863-1SMA10CAT3G%26country%3DAU%26channel%3DBOM%2520Report%26{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSupplier%2520disabled%26mpn%3DSupplier%2520disabled%26seller%3DMouser%26sku%3D863-1SMA10CAT3G%26country%3DAU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|4||Digi-Key|Supplier disabled|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSupplier%2520disabled%26mpn%3DSupplier%2520disabled%26seller%3DMouser%26sku%3D863-1SMA10CAT3G%26country%3DAU%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1SMA10CAT3GOSTR-ND{URL.TIP}Supplier|||
9|1SMA24CAT3G|400 W Peak Power Zener Transient Voltage Suppressor, 2-Pin SMA, Pb-Free, Tape and Reel|D14, D15|ONSC-SMA-2-403D-02_F_V|1SMA24CAT3G|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|2||Digi-Key|Supplier disabled|||{URL}{URL.TEXT}1SMA24CAT3GOSCT-ND{URL.TIP}Supplier|||
10|0154003.DR|FUSE BOARD MNT 3A 125VAC/VDC SMD|F1|0154003.DR|0154003.DR|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|1||Digikey|Supplier disabled|||{URL}{URL.TEXT}F1226CT-ND{URL.TIP}Supplier|||
